"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"5128",7,2,"disamb","fp",77,"disamb fp",4,0,263,263,"Unambiguous","Mismatch"
"5130",7,7,"disamb","fp",77,"disamb fp",1,0,331,331,"Ambiguous","Match"
"5132",7,13,"disamb","fp",77,"disamb fp",3,0,304,304,"Unambiguous","Match"
"5134",7,12,"disamb","fp",77,"disamb fp",2,0,176,176,"Ambiguous","Mismatch"
"5136",7,11,"disamb","fp",77,"disamb fp",1,0,168,168,"Ambiguous","Match"
"5138",7,3,"disamb","fp",77,"disamb fp",1,0,154,154,"Ambiguous","Match"
"5140",7,17,"disamb","fp",77,"disamb fp",3,1,0,NA,"Unambiguous","Match"
"5142",7,22,"disamb","fp",77,"disamb fp",4,0,461,461,"Unambiguous","Mismatch"
"5960",8,1,"disamb","fp",70,"disamb fp",4,0,368,368,"Unambiguous","Mismatch"
"5962",8,10,"disamb","fp",70,"disamb fp",1,0,312,312,"Ambiguous","Match"
"5964",8,21,"disamb","fp",70,"disamb fp",4,0,160,160,"Unambiguous","Mismatch"
"5966",8,16,"disamb","fp",70,"disamb fp",3,0,364,364,"Unambiguous","Match"
"5968",8,9,"disamb","fp",70,"disamb fp",4,0,396,396,"Unambiguous","Mismatch"
"5970",8,13,"disamb","fp",70,"disamb fp",4,0,174,174,"Unambiguous","Mismatch"
"5972",8,4,"disamb","fp",70,"disamb fp",3,0,1164,1164,"Unambiguous","Match"
"5974",8,17,"disamb","fp",70,"disamb fp",4,0,314,314,"Unambiguous","Mismatch"
"5976",8,14,"disamb","fp",70,"disamb fp",1,0,308,308,"Ambiguous","Match"
"5978",8,12,"disamb","fp",70,"disamb fp",3,0,346,346,"Unambiguous","Match"
"5980",8,15,"disamb","fp",70,"disamb fp",2,0,130,130,"Ambiguous","Mismatch"
"5982",8,8,"disamb","fp",70,"disamb fp",3,0,572,572,"Unambiguous","Match"
"5984",8,6,"disamb","fp",70,"disamb fp",1,0,290,290,"Ambiguous","Match"
"5986",8,20,"disamb","fp",70,"disamb fp",3,0,338,338,"Unambiguous","Match"
"5988",8,2,"disamb","fp",70,"disamb fp",1,0,194,194,"Ambiguous","Match"
"5990",8,11,"disamb","fp",70,"disamb fp",2,0,404,404,"Ambiguous","Mismatch"
"5992",8,7,"disamb","fp",70,"disamb fp",2,0,308,308,"Ambiguous","Mismatch"
"5994",8,24,"disamb","fp",70,"disamb fp",3,0,174,174,"Unambiguous","Match"
"5996",8,5,"disamb","fp",70,"disamb fp",4,0,254,254,"Unambiguous","Mismatch"
"5998",8,18,"disamb","fp",70,"disamb fp",1,0,308,308,"Ambiguous","Match"
"6000",8,23,"disamb","fp",70,"disamb fp",2,0,284,284,"Ambiguous","Mismatch"
"6002",8,19,"disamb","fp",70,"disamb fp",2,0,262,262,"Ambiguous","Mismatch"
"6004",8,22,"disamb","fp",70,"disamb fp",1,0,254,254,"Ambiguous","Match"
"6006",8,3,"disamb","fp",70,"disamb fp",2,0,366,366,"Ambiguous","Mismatch"
"6824",9,16,"disamb","fp",70,"disamb fp",4,0,798,798,"Unambiguous","Mismatch"
"6826",9,21,"disamb","fp",70,"disamb fp",1,0,634,634,"Ambiguous","Match"
"6828",9,5,"disamb","fp",70,"disamb fp",1,0,402,402,"Ambiguous","Match"
"6830",9,11,"disamb","fp",70,"disamb fp",3,0,278,278,"Unambiguous","Match"
"6832",9,14,"disamb","fp",70,"disamb fp",2,0,546,546,"Ambiguous","Mismatch"
"6834",9,3,"disamb","fp",70,"disamb fp",3,0,278,278,"Unambiguous","Match"
"6836",9,2,"disamb","fp",70,"disamb fp",2,0,310,310,"Ambiguous","Mismatch"
