"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"30780",5,35,"spillover2","tt","spillover2 tt",7,0,587,587,57,"Ambiguous","Inconsistent",587
"30782",6,42,"spillover2","tt","spillover2 tt",7,0,812,812,57,"Ambiguous","Inconsistent",812
"30784",6,36,"spillover2","tt","spillover2 tt",5,0,446,446,57,"Ambiguous","Consistent",446
"30786",6,30,"spillover2","tt","spillover2 tt",7,0,456,456,57,"Ambiguous","Inconsistent",456
"30788",6,26,"spillover2","tt","spillover2 tt",7,0,160,160,57,"Ambiguous","Inconsistent",160
"30790",6,27,"spillover2","tt","spillover2 tt",8,0,288,288,57,"Unambiguous","Inconsistent",288
"30792",6,28,"spillover2","tt","spillover2 tt",5,1,0,NA,57,"Ambiguous","Consistent",NA
"30794",6,35,"spillover2","tt","spillover2 tt",8,0,702,702,57,"Unambiguous","Inconsistent",702
"30796",6,47,"spillover2","tt","spillover2 tt",8,0,582,582,57,"Unambiguous","Inconsistent",582
"30798",6,43,"spillover2","tt","spillover2 tt",8,0,202,202,57,"Unambiguous","Inconsistent",202
"30800",6,34,"spillover2","tt","spillover2 tt",7,0,192,192,57,"Ambiguous","Inconsistent",192
"30802",6,48,"spillover2","tt","spillover2 tt",5,0,242,242,57,"Ambiguous","Consistent",242
"30804",6,39,"spillover2","tt","spillover2 tt",8,0,584,584,57,"Unambiguous","Inconsistent",584
"30806",6,45,"spillover2","tt","spillover2 tt",6,0,326,326,57,"Unambiguous","Consistent",326
"30808",6,33,"spillover2","tt","spillover2 tt",6,0,346,346,57,"Unambiguous","Consistent",346
"30810",6,29,"spillover2","tt","spillover2 tt",6,0,168,168,57,"Unambiguous","Consistent",168
"30812",6,32,"spillover2","tt","spillover2 tt",5,0,424,424,57,"Ambiguous","Consistent",424
"30814",6,41,"spillover2","tt","spillover2 tt",6,0,212,212,57,"Unambiguous","Consistent",212
"30816",6,31,"spillover2","tt","spillover2 tt",8,0,444,444,57,"Unambiguous","Inconsistent",444
"30817",6,40,"spillover2","tt","spillover2 tt",5,0,332,332,57,"Ambiguous","Consistent",332
"30819",6,25,"spillover2","tt","spillover2 tt",6,0,686,686,57,"Unambiguous","Consistent",686
"30821",6,46,"spillover2","tt","spillover2 tt",7,0,1558,1558,57,"Ambiguous","Inconsistent",NA
"30823",6,44,"spillover2","tt","spillover2 tt",5,1,0,NA,57,"Ambiguous","Consistent",NA
"30825",6,38,"spillover2","tt","spillover2 tt",7,0,264,264,57,"Ambiguous","Inconsistent",264
"30827",6,37,"spillover2","tt","spillover2 tt",6,0,236,236,57,"Unambiguous","Consistent",236
"30828",7,47,"spillover2","tt","spillover2 tt",5,0,875,875,57,"Ambiguous","Consistent",875
"30830",7,31,"spillover2","tt","spillover2 tt",5,0,882,882,57,"Ambiguous","Consistent",882
"30832",7,30,"spillover2","tt","spillover2 tt",8,0,481,481,57,"Unambiguous","Inconsistent",481
"30834",7,44,"spillover2","tt","spillover2 tt",6,1,0,NA,57,"Unambiguous","Consistent",NA
"30836",7,42,"spillover2","tt","spillover2 tt",8,0,684,684,57,"Unambiguous","Inconsistent",684
"30838",7,38,"spillover2","tt","spillover2 tt",8,0,821,821,57,"Unambiguous","Inconsistent",821
"30840",7,39,"spillover2","tt","spillover2 tt",5,0,619,619,57,"Ambiguous","Consistent",619
"30842",7,37,"spillover2","tt","spillover2 tt",7,0,268,268,57,"Ambiguous","Inconsistent",268
"30844",7,28,"spillover2","tt","spillover2 tt",6,0,226,226,57,"Unambiguous","Consistent",226
"30846",7,27,"spillover2","tt","spillover2 tt",5,0,190,190,57,"Ambiguous","Consistent",190
"30848",7,34,"spillover2","tt","spillover2 tt",8,0,420,420,57,"Unambiguous","Inconsistent",420
"30850",7,32,"spillover2","tt","spillover2 tt",6,0,290,290,57,"Unambiguous","Consistent",290
"30852",7,36,"spillover2","tt","spillover2 tt",6,1,0,NA,57,"Unambiguous","Consistent",NA
"30854",7,35,"spillover2","tt","spillover2 tt",5,0,302,302,57,"Ambiguous","Consistent",302
"30856",7,45,"spillover2","tt","spillover2 tt",7,0,311,311,57,"Ambiguous","Inconsistent",311
"30858",7,33,"spillover2","tt","spillover2 tt",7,0,182,182,57,"Ambiguous","Inconsistent",182
"30860",7,29,"spillover2","tt","spillover2 tt",7,0,285,285,57,"Ambiguous","Inconsistent",285
"30862",7,48,"spillover2","tt","spillover2 tt",6,0,429,429,57,"Unambiguous","Consistent",429
"30864",7,26,"spillover2","tt","spillover2 tt",8,0,589,589,57,"Unambiguous","Inconsistent",589
"30866",7,41,"spillover2","tt","spillover2 tt",7,0,747,747,57,"Ambiguous","Inconsistent",747
"30868",7,25,"spillover2","tt","spillover2 tt",7,0,404,404,57,"Ambiguous","Inconsistent",404
"30870",7,40,"spillover2","tt","spillover2 tt",6,1,0,NA,57,"Unambiguous","Consistent",NA
"30872",7,43,"spillover2","tt","spillover2 tt",5,0,130,130,57,"Ambiguous","Consistent",130
"30874",7,46,"spillover2","tt","spillover2 tt",8,0,1439,1439,57,"Unambiguous","Inconsistent",1439
