"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"11777",7,12,"disamb","rp","disamb rp",2,0,176,176,72,"Ambiguous","Mismatch",176
"11779",7,11,"disamb","rp","disamb rp",1,0,168,168,72,"Ambiguous","Match",168
"11781",7,3,"disamb","rp","disamb rp",1,0,154,154,72,"Ambiguous","Match",154
"11783",7,17,"disamb","rp","disamb rp",3,1,0,NA,72,"Unambiguous","Match",NA
"11785",7,22,"disamb","rp","disamb rp",4,0,461,461,72,"Unambiguous","Mismatch",461
"11787",8,1,"disamb","rp","disamb rp",4,0,1208,1208,72,"Unambiguous","Mismatch",1208
"11789",8,10,"disamb","rp","disamb rp",1,0,312,312,72,"Ambiguous","Match",312
"11791",8,21,"disamb","rp","disamb rp",4,0,814,814,72,"Unambiguous","Mismatch",814
"11793",8,16,"disamb","rp","disamb rp",3,0,364,364,72,"Unambiguous","Match",364
"11795",8,9,"disamb","rp","disamb rp",4,0,396,396,72,"Unambiguous","Mismatch",396
"11797",8,13,"disamb","rp","disamb rp",4,0,504,504,72,"Unambiguous","Mismatch",504
"11799",8,4,"disamb","rp","disamb rp",3,0,1926,1926,72,"Unambiguous","Match",1926
"11801",8,17,"disamb","rp","disamb rp",4,0,2890,2890,72,"Unambiguous","Mismatch",NA
"11803",8,14,"disamb","rp","disamb rp",1,0,308,308,72,"Ambiguous","Match",308
"11805",8,12,"disamb","rp","disamb rp",3,0,346,346,72,"Unambiguous","Match",346
"11807",8,15,"disamb","rp","disamb rp",2,0,304,304,72,"Ambiguous","Mismatch",304
"11809",8,8,"disamb","rp","disamb rp",3,0,572,572,72,"Unambiguous","Match",572
"11811",8,6,"disamb","rp","disamb rp",1,0,290,290,72,"Ambiguous","Match",290
"11813",8,20,"disamb","rp","disamb rp",3,0,338,338,72,"Unambiguous","Match",338
"11815",8,2,"disamb","rp","disamb rp",1,0,194,194,72,"Ambiguous","Match",194
"11817",8,11,"disamb","rp","disamb rp",2,0,404,404,72,"Ambiguous","Mismatch",404
"11819",8,7,"disamb","rp","disamb rp",2,0,308,308,72,"Ambiguous","Mismatch",308
"11821",8,24,"disamb","rp","disamb rp",3,0,174,174,72,"Unambiguous","Match",174
"11823",8,5,"disamb","rp","disamb rp",4,0,254,254,72,"Unambiguous","Mismatch",254
"11825",8,18,"disamb","rp","disamb rp",1,0,692,692,72,"Ambiguous","Match",692
"11827",8,23,"disamb","rp","disamb rp",2,0,284,284,72,"Ambiguous","Mismatch",284
"11829",8,19,"disamb","rp","disamb rp",2,0,262,262,72,"Ambiguous","Mismatch",262
"11831",8,22,"disamb","rp","disamb rp",1,0,254,254,72,"Ambiguous","Match",254
"11833",8,3,"disamb","rp","disamb rp",2,0,366,366,72,"Ambiguous","Mismatch",366
"11835",9,16,"disamb","rp","disamb rp",4,0,798,798,72,"Unambiguous","Mismatch",798
"11837",9,21,"disamb","rp","disamb rp",1,0,634,634,72,"Ambiguous","Match",634
"11839",9,5,"disamb","rp","disamb rp",1,0,402,402,72,"Ambiguous","Match",402
"11841",9,11,"disamb","rp","disamb rp",3,0,278,278,72,"Unambiguous","Match",278
"11843",9,14,"disamb","rp","disamb rp",2,0,6262,6262,72,"Ambiguous","Mismatch",NA
"11845",9,3,"disamb","rp","disamb rp",3,0,278,278,72,"Unambiguous","Match",278
"11847",9,2,"disamb","rp","disamb rp",2,0,310,310,72,"Ambiguous","Mismatch",310
"11849",9,10,"disamb","rp","disamb rp",2,0,240,240,72,"Ambiguous","Mismatch",240
"11851",9,24,"disamb","rp","disamb rp",4,0,242,242,72,"Unambiguous","Mismatch",242
"11853",9,7,"disamb","rp","disamb rp",3,0,274,274,72,"Unambiguous","Match",274
"11855",9,20,"disamb","rp","disamb rp",4,0,250,250,72,"Unambiguous","Mismatch",250
"11857",9,19,"disamb","rp","disamb rp",3,0,2000,2000,72,"Unambiguous","Match",2000
"11859",9,15,"disamb","rp","disamb rp",3,0,298,298,72,"Unambiguous","Match",298
"11861",9,1,"disamb","rp","disamb rp",1,0,3018,3018,72,"Ambiguous","Match",3018
"11863",9,18,"disamb","rp","disamb rp",2,0,1552,1552,72,"Ambiguous","Mismatch",1552
"11865",9,17,"disamb","rp","disamb rp",1,0,984,984,72,"Ambiguous","Match",984
"11867",9,23,"disamb","rp","disamb rp",3,0,458,458,72,"Unambiguous","Match",458
"11869",9,9,"disamb","rp","disamb rp",1,0,490,490,72,"Ambiguous","Match",490
"11871",9,13,"disamb","rp","disamb rp",1,0,458,458,72,"Ambiguous","Match",458
"11873",9,4,"disamb","rp","disamb rp",4,0,766,766,72,"Unambiguous","Mismatch",766
"11875",9,22,"disamb","rp","disamb rp",2,0,1100,1100,72,"Ambiguous","Mismatch",1100
"11877",9,8,"disamb","rp","disamb rp",4,0,372,372,72,"Unambiguous","Mismatch",372
"11879",9,12,"disamb","rp","disamb rp",4,0,192,192,72,"Unambiguous","Mismatch",192
"11881",9,6,"disamb","rp","disamb rp",2,0,248,248,72,"Ambiguous","Mismatch",248
"11882",10,23,"disamb","rp","disamb rp",4,0,2400,2400,72,"Unambiguous","Mismatch",2400
"11884",10,18,"disamb","rp","disamb rp",3,0,252,252,72,"Unambiguous","Match",252
"11886",10,19,"disamb","rp","disamb rp",4,0,204,204,72,"Unambiguous","Mismatch",204
"11888",10,16,"disamb","rp","disamb rp",1,0,1862,1862,72,"Ambiguous","Match",1862
"11890",10,17,"disamb","rp","disamb rp",2,0,258,258,72,"Ambiguous","Mismatch",258
"11892",10,1,"disamb","rp","disamb rp",2,0,4518,4518,72,"Ambiguous","Mismatch",4518
"11894",10,22,"disamb","rp","disamb rp",3,0,404,404,72,"Unambiguous","Match",404
"11896",10,20,"disamb","rp","disamb rp",1,0,154,154,72,"Ambiguous","Match",154
"11898",10,14,"disamb","rp","disamb rp",3,0,244,244,72,"Unambiguous","Match",244
"11900",10,11,"disamb","rp","disamb rp",4,0,340,340,72,"Unambiguous","Mismatch",340
"11902",10,15,"disamb","rp","disamb rp",4,0,430,430,72,"Unambiguous","Mismatch",430
"11904",10,7,"disamb","rp","disamb rp",4,0,640,640,72,"Unambiguous","Mismatch",640
"11906",10,13,"disamb","rp","disamb rp",2,0,392,392,72,"Ambiguous","Mismatch",392
"11908",10,24,"disamb","rp","disamb rp",1,0,2706,2706,72,"Ambiguous","Match",2706
"11910",10,8,"disamb","rp","disamb rp",1,0,236,236,72,"Ambiguous","Match",236
"11912",10,3,"disamb","rp","disamb rp",4,0,924,924,72,"Unambiguous","Mismatch",924
"11914",10,6,"disamb","rp","disamb rp",3,0,238,238,72,"Unambiguous","Match",238
"11916",10,4,"disamb","rp","disamb rp",1,0,1156,1156,72,"Ambiguous","Match",1156
"11918",10,5,"disamb","rp","disamb rp",2,0,242,242,72,"Ambiguous","Mismatch",242
"11920",10,21,"disamb","rp","disamb rp",2,0,136,136,72,"Ambiguous","Mismatch",136
"11922",10,9,"disamb","rp","disamb rp",2,0,218,218,72,"Ambiguous","Mismatch",218
"11924",10,2,"disamb","rp","disamb rp",3,0,234,234,72,"Unambiguous","Match",234
"11926",10,12,"disamb","rp","disamb rp",1,0,172,172,72,"Ambiguous","Match",172
"11928",10,10,"disamb","rp","disamb rp",3,0,188,188,72,"Unambiguous","Match",188
"11930",11,3,"disamb","rp","disamb rp",1,0,170,170,72,"Ambiguous","Match",170
"11932",11,18,"disamb","rp","disamb rp",4,0,432,432,72,"Unambiguous","Mismatch",432
"11934",11,24,"disamb","rp","disamb rp",2,0,318,318,72,"Ambiguous","Mismatch",318
"11936",11,15,"disamb","rp","disamb rp",1,0,380,380,72,"Ambiguous","Match",380
"11938",11,9,"disamb","rp","disamb rp",3,0,326,326,72,"Unambiguous","Match",326
"11940",11,10,"disamb","rp","disamb rp",4,0,574,574,72,"Unambiguous","Mismatch",574
"11942",11,2,"disamb","rp","disamb rp",4,0,372,372,72,"Unambiguous","Mismatch",372
"11944",11,19,"disamb","rp","disamb rp",1,0,1086,1086,72,"Ambiguous","Match",1086
"11946",11,12,"disamb","rp","disamb rp",2,0,2080,2080,72,"Ambiguous","Mismatch",2080
"11948",11,16,"disamb","rp","disamb rp",2,0,630,630,72,"Ambiguous","Mismatch",630
"11950",11,22,"disamb","rp","disamb rp",4,0,200,200,72,"Unambiguous","Mismatch",200
"11952",11,21,"disamb","rp","disamb rp",3,0,336,336,72,"Unambiguous","Match",336
"11954",11,1,"disamb","rp","disamb rp",3,0,362,362,72,"Unambiguous","Match",362
"11956",11,20,"disamb","rp","disamb rp",2,0,480,480,72,"Ambiguous","Mismatch",480
"11958",11,14,"disamb","rp","disamb rp",4,0,460,460,72,"Unambiguous","Mismatch",460
