"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"178",4,25,"disamb","fp","disamb fp",8,0,346,346,71,"Unambiguous","Inconsistent",346
"180",4,27,"disamb","fp","disamb fp",6,0,888,888,71,"Unambiguous","Consistent",888
"182",4,47,"disamb","fp","disamb fp",6,0,154,154,71,"Unambiguous","Consistent",154
"184",4,39,"disamb","fp","disamb fp",6,0,594,594,71,"Unambiguous","Consistent",594
"186",4,34,"disamb","fp","disamb fp",5,0,460,460,71,"Ambiguous","Consistent",460
"187",4,35,"disamb","fp","disamb fp",6,0,795,795,71,"Unambiguous","Consistent",795
"190",5,42,"disamb","fp","disamb fp",6,0,407,407,71,"Unambiguous","Consistent",407
"192",5,47,"disamb","fp","disamb fp",7,0,284,284,71,"Ambiguous","Inconsistent",284
"194",5,25,"disamb","fp","disamb fp",5,0,384,384,71,"Ambiguous","Consistent",384
"196",5,43,"disamb","fp","disamb fp",7,0,906,906,71,"Ambiguous","Inconsistent",906
"198",5,33,"disamb","fp","disamb fp",5,0,366,366,71,"Ambiguous","Consistent",366
"200",5,41,"disamb","fp","disamb fp",5,0,478,478,71,"Ambiguous","Consistent",478
"202",5,29,"disamb","fp","disamb fp",5,0,481,481,71,"Ambiguous","Consistent",481
"204",5,39,"disamb","fp","disamb fp",7,0,595,595,71,"Ambiguous","Inconsistent",595
"206",5,40,"disamb","fp","disamb fp",8,0,709,709,71,"Unambiguous","Inconsistent",709
"208",5,28,"disamb","fp","disamb fp",8,0,644,644,71,"Unambiguous","Inconsistent",644
"210",5,46,"disamb","fp","disamb fp",6,0,271,271,71,"Unambiguous","Consistent",271
"212",5,31,"disamb","fp","disamb fp",7,0,453,453,71,"Ambiguous","Inconsistent",453
"214",5,36,"disamb","fp","disamb fp",8,0,390,390,71,"Unambiguous","Inconsistent",390
"216",5,27,"disamb","fp","disamb fp",7,0,452,452,71,"Ambiguous","Inconsistent",452
"218",5,38,"disamb","fp","disamb fp",6,0,407,407,71,"Unambiguous","Consistent",407
"220",5,26,"disamb","fp","disamb fp",6,0,195,195,71,"Unambiguous","Consistent",195
"222",5,44,"disamb","fp","disamb fp",8,0,427,427,71,"Unambiguous","Inconsistent",427
"224",5,45,"disamb","fp","disamb fp",5,0,474,474,71,"Ambiguous","Consistent",474
"226",5,30,"disamb","fp","disamb fp",6,0,349,349,71,"Unambiguous","Consistent",349
"228",5,32,"disamb","fp","disamb fp",8,0,595,595,71,"Unambiguous","Inconsistent",595
"230",5,37,"disamb","fp","disamb fp",5,0,524,524,71,"Ambiguous","Consistent",524
"232",5,34,"disamb","fp","disamb fp",6,0,931,931,71,"Unambiguous","Consistent",931
"234",5,48,"disamb","fp","disamb fp",8,0,377,377,71,"Unambiguous","Inconsistent",377
"236",5,35,"disamb","fp","disamb fp",7,0,501,501,71,"Ambiguous","Inconsistent",501
"238",6,42,"disamb","fp","disamb fp",7,0,226,226,71,"Ambiguous","Inconsistent",226
"240",6,36,"disamb","fp","disamb fp",5,0,136,136,71,"Ambiguous","Consistent",136
"242",6,30,"disamb","fp","disamb fp",7,0,372,372,71,"Ambiguous","Inconsistent",372
"244",6,26,"disamb","fp","disamb fp",7,0,232,232,71,"Ambiguous","Inconsistent",232
"246",6,27,"disamb","fp","disamb fp",8,0,244,244,71,"Unambiguous","Inconsistent",244
"248",6,28,"disamb","fp","disamb fp",5,0,714,714,71,"Ambiguous","Consistent",714
"250",6,35,"disamb","fp","disamb fp",8,0,216,216,71,"Unambiguous","Inconsistent",216
"252",6,47,"disamb","fp","disamb fp",8,1,0,NA,71,"Unambiguous","Inconsistent",NA
"254",6,43,"disamb","fp","disamb fp",8,0,228,228,71,"Unambiguous","Inconsistent",228
"256",6,34,"disamb","fp","disamb fp",7,1,0,NA,71,"Ambiguous","Inconsistent",NA
"258",6,48,"disamb","fp","disamb fp",5,0,382,382,71,"Ambiguous","Consistent",382
"260",6,39,"disamb","fp","disamb fp",8,1,0,NA,71,"Unambiguous","Inconsistent",NA
"262",6,45,"disamb","fp","disamb fp",6,1,0,NA,71,"Unambiguous","Consistent",NA
"264",6,33,"disamb","fp","disamb fp",6,0,296,296,71,"Unambiguous","Consistent",296
"266",6,29,"disamb","fp","disamb fp",6,0,166,166,71,"Unambiguous","Consistent",166
"268",6,32,"disamb","fp","disamb fp",5,0,406,406,71,"Ambiguous","Consistent",406
"270",6,41,"disamb","fp","disamb fp",6,0,210,210,71,"Unambiguous","Consistent",210
"272",6,31,"disamb","fp","disamb fp",8,1,0,NA,71,"Unambiguous","Inconsistent",NA
"273",6,40,"disamb","fp","disamb fp",5,1,0,NA,71,"Ambiguous","Consistent",NA
"275",6,25,"disamb","fp","disamb fp",6,1,0,NA,71,"Unambiguous","Consistent",NA
"277",6,46,"disamb","fp","disamb fp",7,0,216,216,71,"Ambiguous","Inconsistent",216
