"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"4450",6,35,"spillover2","fp",89,"High","spillover2 fp",8,0,702,702,"Unambiguous","Inconsistent",702
"4452",6,47,"spillover2","fp",89,"High","spillover2 fp",8,0,376,376,"Unambiguous","Inconsistent",376
"4454",6,43,"spillover2","fp",89,"High","spillover2 fp",8,0,202,202,"Unambiguous","Inconsistent",202
"4456",6,34,"spillover2","fp",89,"High","spillover2 fp",7,0,192,192,"Ambiguous","Inconsistent",192
"4458",6,48,"spillover2","fp",89,"High","spillover2 fp",5,0,242,242,"Ambiguous","Consistent",242
"4460",6,39,"spillover2","fp",89,"High","spillover2 fp",8,0,584,584,"Unambiguous","Inconsistent",584
"4462",6,45,"spillover2","fp",89,"High","spillover2 fp",6,0,326,326,"Unambiguous","Consistent",326
"4464",6,33,"spillover2","fp",89,"High","spillover2 fp",6,0,346,346,"Unambiguous","Consistent",346
"4466",6,29,"spillover2","fp",89,"High","spillover2 fp",6,0,168,168,"Unambiguous","Consistent",168
"4468",6,32,"spillover2","fp",89,"High","spillover2 fp",5,0,302,302,"Ambiguous","Consistent",302
"4470",6,41,"spillover2","fp",89,"High","spillover2 fp",6,0,212,212,"Unambiguous","Consistent",212
"4472",6,31,"spillover2","fp",89,"High","spillover2 fp",8,0,342,342,"Unambiguous","Inconsistent",342
"4473",6,40,"spillover2","fp",89,"High","spillover2 fp",5,0,184,184,"Ambiguous","Consistent",184
"4475",6,25,"spillover2","fp",89,"High","spillover2 fp",6,0,686,686,"Unambiguous","Consistent",686
"4477",6,46,"spillover2","fp",89,"High","spillover2 fp",7,0,500,500,"Ambiguous","Inconsistent",500
"4479",6,44,"spillover2","fp",89,"High","spillover2 fp",5,1,0,NA,"Ambiguous","Consistent",NA
"4481",6,38,"spillover2","fp",89,"High","spillover2 fp",7,0,264,264,"Ambiguous","Inconsistent",264
"4483",6,37,"spillover2","fp",89,"High","spillover2 fp",6,1,0,NA,"Unambiguous","Consistent",NA
