"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"3963",5,4,"disamb","tt",66,"disamb tt",4,0,502,502,"Unambiguous","Mismatch"
"3965",5,9,"disamb","tt",66,"disamb tt",1,0,289,289,"Ambiguous","Match"
"3967",5,8,"disamb","tt",66,"disamb tt",4,0,825,825,"Unambiguous","Mismatch"
"3969",5,7,"disamb","tt",66,"disamb tt",3,0,481,481,"Unambiguous","Match"
"3971",5,16,"disamb","tt",66,"disamb tt",4,0,700,700,"Unambiguous","Mismatch"
"3973",5,19,"disamb","tt",66,"disamb tt",3,0,1604,1604,"Unambiguous","Match"
"3975",5,17,"disamb","tt",66,"disamb tt",1,0,940,940,"Ambiguous","Match"
"3977",5,3,"disamb","tt",66,"disamb tt",3,0,1128,1128,"Unambiguous","Match"
"3979",5,14,"disamb","tt",66,"disamb tt",2,0,901,901,"Ambiguous","Mismatch"
"3981",5,1,"disamb","tt",66,"disamb tt",1,0,522,522,"Ambiguous","Match"
"3983",5,15,"disamb","tt",66,"disamb tt",3,0,279,279,"Unambiguous","Match"
"3985",5,22,"disamb","tt",66,"disamb tt",2,1,0,NA,"Ambiguous","Mismatch"
"3987",5,18,"disamb","tt",66,"disamb tt",2,0,414,414,"Ambiguous","Mismatch"
"3989",5,5,"disamb","tt",66,"disamb tt",1,0,805,805,"Ambiguous","Match"
"3991",5,2,"disamb","tt",66,"disamb tt",2,0,989,989,"Ambiguous","Mismatch"
"3993",5,23,"disamb","tt",66,"disamb tt",3,0,684,684,"Unambiguous","Match"
"3995",5,21,"disamb","tt",66,"disamb tt",1,0,1138,1138,"Ambiguous","Match"
"3997",5,20,"disamb","tt",66,"disamb tt",4,0,783,783,"Unambiguous","Mismatch"
"3999",5,10,"disamb","tt",66,"disamb tt",2,0,332,332,"Ambiguous","Mismatch"
"4001",5,12,"disamb","tt",66,"disamb tt",4,0,405,405,"Unambiguous","Mismatch"
"4003",5,11,"disamb","tt",66,"disamb tt",3,0,873,873,"Unambiguous","Match"
"4005",5,24,"disamb","tt",66,"disamb tt",4,0,363,363,"Unambiguous","Mismatch"
"4007",5,6,"disamb","tt",66,"disamb tt",2,0,443,443,"Ambiguous","Mismatch"
"4813",6,12,"disamb","tt",89,"disamb tt",1,0,1010,1010,"Ambiguous","Match"
"4815",6,16,"disamb","tt",89,"disamb tt",1,0,588,588,"Ambiguous","Match"
"4817",6,13,"disamb","tt",89,"disamb tt",2,0,2152,2152,"Ambiguous","Mismatch"
"4819",6,7,"disamb","tt",89,"disamb tt",4,0,1636,1636,"Unambiguous","Mismatch"
"4821",6,18,"disamb","tt",89,"disamb tt",3,0,678,678,"Unambiguous","Match"
"4823",6,21,"disamb","tt",89,"disamb tt",2,0,808,808,"Ambiguous","Mismatch"
"4825",6,14,"disamb","tt",89,"disamb tt",3,0,1300,1300,"Unambiguous","Match"
"4827",6,4,"disamb","tt",89,"disamb tt",1,0,1262,1262,"Ambiguous","Match"
"4829",6,5,"disamb","tt",89,"disamb tt",2,0,688,688,"Ambiguous","Mismatch"
"4831",6,10,"disamb","tt",89,"disamb tt",3,0,170,170,"Unambiguous","Match"
"4833",6,3,"disamb","tt",89,"disamb tt",4,1,0,NA,"Unambiguous","Mismatch"
"4835",6,11,"disamb","tt",89,"disamb tt",4,0,204,204,"Unambiguous","Mismatch"
"4837",6,24,"disamb","tt",89,"disamb tt",1,0,578,578,"Ambiguous","Match"
"4839",6,17,"disamb","tt",89,"disamb tt",2,0,830,830,"Ambiguous","Mismatch"
"4841",6,2,"disamb","tt",89,"disamb tt",3,0,270,270,"Unambiguous","Match"
"4843",6,9,"disamb","tt",89,"disamb tt",2,0,804,804,"Ambiguous","Mismatch"
"4845",6,15,"disamb","tt",89,"disamb tt",4,0,946,946,"Unambiguous","Mismatch"
"4847",6,19,"disamb","tt",89,"disamb tt",4,0,396,396,"Unambiguous","Mismatch"
"4850",6,1,"disamb","tt",89,"disamb tt",2,0,394,394,"Ambiguous","Mismatch"
"4852",6,8,"disamb","tt",89,"disamb tt",1,0,312,312,"Ambiguous","Match"
"4854",6,20,"disamb","tt",89,"disamb tt",1,0,1166,1166,"Ambiguous","Match"
"4856",6,23,"disamb","tt",89,"disamb tt",4,0,434,434,"Unambiguous","Mismatch"
"4858",6,6,"disamb","tt",89,"disamb tt",3,0,640,640,"Unambiguous","Match"
"5672",7,20,"disamb","tt",77,"disamb tt",2,0,964,964,"Ambiguous","Mismatch"
"5674",7,4,"disamb","tt",77,"disamb tt",2,0,578,578,"Ambiguous","Mismatch"
"5676",7,14,"disamb","tt",77,"disamb tt",4,0,242,242,"Unambiguous","Mismatch"
"5678",7,24,"disamb","tt",77,"disamb tt",2,0,145,145,"Ambiguous","Mismatch"
"5680",7,8,"disamb","tt",77,"disamb tt",2,0,326,326,"Ambiguous","Mismatch"
"5682",7,21,"disamb","tt",77,"disamb tt",3,0,325,325,"Unambiguous","Match"
"5684",7,18,"disamb","tt",77,"disamb tt",4,0,393,393,"Unambiguous","Mismatch"
"5686",7,5,"disamb","tt",77,"disamb tt",3,0,165,165,"Unambiguous","Match"
"5688",7,1,"disamb","tt",77,"disamb tt",3,0,313,313,"Unambiguous","Match"
"5690",7,19,"disamb","tt",77,"disamb tt",1,0,431,431,"Ambiguous","Match"
"5692",7,16,"disamb","tt",77,"disamb tt",2,0,677,677,"Ambiguous","Mismatch"
"5694",7,15,"disamb","tt",77,"disamb tt",1,0,300,300,"Ambiguous","Match"
